Port,Plant,Cargo,Vessel_Size,Weather,Labor_Action,Rake_Type,Multi_Port_Discharge,Port_Congestion_Index,Rake_Demand,Rake_Availability,Yard_Capacity,Yard_Usage,Vessel_Queue,Date,Delay_Hours,Delay_Severity,High_Risk,Route_Recommendation
Haldia,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,Low,Captive,0,1,10,43,69,90,12,2022-07-23,34.17747127137896,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,JSW_Vijayanagar,Iron_Ore,Panamax,Clear,Low,Standard_IR,1,6,45,5,88,13,13,2022-07-24,88.12618715854958,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,GPWIS,0,10,10,30,82,92,1,2022-07-24,36.88320899216562,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Vizag_Steel,Coking_Coal,Capesize,Clear,Low,GPWIS,0,8,20,20,25,35,9,2022-07-25,32.33152377642012,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,SAIL_Rourkela,Coking_Coal,Panamax,Clear,Low,Standard_IR,1,8,27,13,77,33,0,2022-07-25,92.09507343504079,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,JSW_Vijayanagar,Coking_Coal,Handymax,Clear,Low,GPWIS,0,3,25,9,70,48,14,2022-07-25,22.970433708833152,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Vizag_Steel,Iron_Ore,Handymax,Cyclone,Medium,Standard_IR,0,5,26,12,31,65,12,2022-07-26,168.26647389524658,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,SAIL_Rourkela,Coking_Coal,Capesize,Clear,Low,Captive,0,10,33,25,66,63,6,2022-07-26,77.80644897850546,2,1,Recommend: Transshipment away from congested port
Haldia,Tata_Steel_Kalinganagar,Coking_Coal,Handymax,Clear,Low,GPWIS,0,4,43,37,28,47,9,2022-07-27,0.0,0,0,Action: Normal secure operations
Paradip,SAIL_Rourkela,Coking_Coal,Handymax,Clear,High,GPWIS,0,1,13,43,26,63,10,2022-07-27,68.70765319282454,2,1,Recommend: Expedite alternative multi-modal transport via truck
Dhamra,JSW_Vijayanagar,Coking_Coal,Panamax,Rain,Low,Standard_IR,0,5,24,24,97,35,2,2022-07-28,46.70764475629704,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,SAIL_Rourkela,Coking_Coal,Panamax,Cyclone,Low,Standard_IR,0,9,44,47,48,28,2,2022-07-28,111.03526244625262,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,JSW_Vijayanagar,Coking_Coal,Capesize,Clear,Low,Standard_IR,0,2,11,49,70,61,2,2022-07-29,52.145764023855705,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,SAIL_Rourkela,Iron_Ore,Panamax,Clear,Low,Captive,1,2,40,26,74,84,9,2022-07-29,53.82961497292705,2,1,Recommend: Expedite alternative multi-modal transport via truck
Vizag,JSW_Vijayanagar,Coking_Coal,Handymax,Clear,Medium,Captive,1,7,18,17,78,70,11,2022-07-29,74.284802177453,2,1,Recommend: Expedite alternative multi-modal transport via truck
Paradip,JSW_Vijayanagar,Coking_Coal,Capesize,Clear,Medium,GPWIS,0,4,19,43,75,76,12,2022-07-30,24.05851391991098,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,JSW_Vijayanagar,Limestone,Handymax,Rain,Low,Standard_IR,1,1,34,15,41,31,2,2022-07-30,54.18016918891239,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,Vizag_Steel,Iron_Ore,Panamax,Clear,Low,GPWIS,0,5,14,22,37,26,1,2022-07-31,11.52838675146893,0,0,Action: Normal secure operations
Haldia,Vizag_Steel,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,2,23,34,77,20,5,2022-07-31,0.0,0,0,Action: Normal secure operations
Vizag,Vizag_Steel,Coking_Coal,Handymax,Clear,Low,GPWIS,0,1,11,7,75,58,2,2022-08-01,16.262260275708165,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,JSW_Vijayanagar,Iron_Ore,Panamax,Rain,Low,Captive,1,9,49,48,50,70,9,2022-08-01,97.18688869224731,2,1,Recommend: Divert to alternative safe Port
Vizag,SAIL_Rourkela,Iron_Ore,Handymax,Rain,Low,Standard_IR,0,7,47,37,59,48,13,2022-08-01,96.62579774541506,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,SAIL_Rourkela,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,2,27,5,54,70,0,2022-08-02,56.72827476816121,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,GPWIS,0,6,38,40,45,21,9,2022-08-02,29.10061930124894,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Tata_Steel_Kalinganagar,Limestone,Panamax,Rain,Medium,GPWIS,0,8,29,10,87,22,12,2022-08-03,74.03802819849756,2,1,Recommend: Divert to alternative safe Port
Dhamra,JSW_Vijayanagar,Iron_Ore,Capesize,Rain,Low,GPWIS,0,7,17,41,53,67,12,2022-08-03,51.01539357525854,2,1,Recommend: Divert to alternative safe Port
Vizag,JSW_Vijayanagar,Limestone,Handymax,Clear,Low,Standard_IR,0,9,46,33,95,20,8,2022-08-04,65.63420562298214,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,Vizag_Steel,Limestone,Panamax,Clear,Low,Standard_IR,0,2,35,15,35,73,5,2022-08-04,48.652853937977795,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,SAIL_Rourkela,Iron_Ore,Handymax,Clear,Low,GPWIS,1,4,13,15,24,20,9,2022-08-05,36.170253926297136,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Vizag_Steel,Limestone,Panamax,Clear,Low,Captive,1,3,42,42,80,52,8,2022-08-05,45.30097280500247,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,SAIL_Rourkela,Iron_Ore,Panamax,Rain,Low,Captive,1,9,46,17,61,40,5,2022-08-05,55.53532496146222,2,1,Recommend: Divert to alternative safe Port
Paradip,JSW_Vijayanagar,Coking_Coal,Panamax,Rain,Low,Standard_IR,0,7,31,29,63,45,1,2022-08-06,67.85338974473405,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Tata_Steel_Kalinganagar,Limestone,Handymax,Clear,Low,GPWIS,0,5,15,19,54,11,9,2022-08-06,0.0,0,0,Action: Normal secure operations
Dhamra,JSW_Vijayanagar,Limestone,Panamax,Clear,Medium,GPWIS,0,5,42,17,20,96,8,2022-08-07,56.12851767106175,2,1,Recommend: Expedite alternative multi-modal transport via truck
Haldia,JSW_Vijayanagar,Coking_Coal,Handymax,Rain,Low,Standard_IR,0,2,37,46,62,70,13,2022-08-07,75.49847256304214,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Rain,Low,Standard_IR,1,6,33,37,51,45,14,2022-08-08,63.101190137858644,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Vizag_Steel,Iron_Ore,Handymax,Clear,Low,Standard_IR,0,6,13,17,82,87,11,2022-08-08,68.35910182261777,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,SAIL_Rourkela,Iron_Ore,Capesize,Clear,High,Standard_IR,1,4,11,42,52,58,2,2022-08-08,79.02648485503929,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Vizag_Steel,Coking_Coal,Panamax,Clear,Low,GPWIS,1,7,20,24,85,21,2,2022-08-09,13.091346597549625,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Vizag_Steel,Limestone,Panamax,Clear,Low,GPWIS,0,5,22,28,96,36,2,2022-08-09,16.89517270157564,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,JSW_Vijayanagar,Iron_Ore,Panamax,Clear,Low,Captive,0,8,44,48,49,67,0,2022-08-10,37.23479960474826,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,SAIL_Rourkela,Limestone,Capesize,Rain,Low,Captive,0,6,48,21,29,15,9,2022-08-10,43.003884951992006,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,SAIL_Rourkela,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,5,19,28,42,53,14,2022-08-11,63.79116623430707,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Vizag_Steel,Limestone,Handymax,Clear,Low,Standard_IR,0,3,19,30,58,56,6,2022-08-11,51.97223432722849,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,7,17,44,64,32,9,2022-08-12,39.98409768073607,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Vizag_Steel,Iron_Ore,Capesize,Cyclone,Low,GPWIS,0,8,14,36,48,83,12,2022-08-12,168.72331389311265,2,1,Recommend: Divert to alternative safe Port
Vizag,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,3,32,33,49,85,6,2022-08-12,34.9656817602085,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Vizag_Steel,Coking_Coal,Capesize,Clear,Low,GPWIS,0,2,41,41,71,16,5,2022-08-13,10.489764031616009,0,0,Action: Normal secure operations
Haldia,SAIL_Rourkela,Limestone,Panamax,Clear,Medium,Standard_IR,1,5,43,18,53,35,1,2022-08-13,82.94530454353844,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,JSW_Vijayanagar,Iron_Ore,Capesize,Clear,Low,Standard_IR,0,10,25,26,41,41,3,2022-08-14,96.08033488853776,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Vizag_Steel,Iron_Ore,Capesize,Clear,Low,Captive,0,10,13,38,24,42,10,2022-08-14,56.589643107503704,2,1,Recommend: Transshipment away from congested port
Paradip,SAIL_Rourkela,Limestone,Handymax,Clear,Medium,GPWIS,0,4,37,31,30,91,6,2022-08-15,53.244130674493064,2,1,Recommend: Expedite alternative multi-modal transport via truck
Dhamra,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,Standard_IR,0,4,23,32,51,29,13,2022-08-15,36.801091969595255,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,Standard_IR,0,8,21,26,43,78,13,2022-08-15,111.68425083741425,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Clear,Low,GPWIS,0,3,30,47,30,61,6,2022-08-16,15.8571933823326,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,Captive,0,5,25,7,30,51,14,2022-08-16,48.697424357724195,2,1,Recommend: Expedite alternative multi-modal transport via truck
Haldia,Vizag_Steel,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,2,32,25,51,10,2,2022-08-17,17.289337795309677,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,JSW_Vijayanagar,Limestone,Handymax,Clear,Low,Standard_IR,0,5,11,26,36,92,3,2022-08-17,44.072455514448485,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,SAIL_Rourkela,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,9,38,20,46,72,6,2022-08-18,101.16901274145125,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,Tata_Steel_Kalinganagar,Limestone,Handymax,Clear,Medium,GPWIS,0,4,18,13,51,16,8,2022-08-18,34.74154646746866,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Vizag_Steel,Limestone,Panamax,Clear,Low,GPWIS,0,9,16,17,80,67,3,2022-08-19,32.42193746006972,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,JSW_Vijayanagar,Iron_Ore,Handymax,Clear,Low,Captive,0,9,38,14,44,95,5,2022-08-19,64.83688803387558,2,1,Recommend: Transshipment away from congested port
Dhamra,JSW_Vijayanagar,Limestone,Panamax,Clear,Medium,GPWIS,0,2,26,25,83,59,6,2022-08-19,16.36421353412552,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Tata_Steel_Kalinganagar,Coking_Coal,Handymax,Clear,Medium,GPWIS,0,9,18,46,83,43,9,2022-08-20,40.21462481540773,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,SAIL_Rourkela,Coking_Coal,Panamax,Cyclone,Low,GPWIS,0,9,15,44,47,60,2,2022-08-20,96.59451208362367,2,1,Recommend: Divert to alternative safe Port
Dhamra,Vizag_Steel,Limestone,Panamax,Clear,Low,Captive,0,6,19,26,33,35,11,2022-08-21,53.821008857162234,2,1,Recommend: Expedite alternative multi-modal transport via truck
Gangavaram,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Rain,High,Standard_IR,1,2,29,11,59,19,4,2022-08-21,127.32094803498421,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Vizag_Steel,Limestone,Handymax,Clear,Low,Captive,0,2,42,18,21,71,5,2022-08-22,10.018093660052795,0,0,Action: Normal secure operations
Vizag,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,9,18,22,61,41,13,2022-08-22,54.87108237403289,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,JSW_Vijayanagar,Limestone,Capesize,Clear,Medium,GPWIS,0,4,21,25,58,51,0,2022-08-22,13.962785349572481,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,JSW_Vijayanagar,Iron_Ore,Handymax,Clear,Low,GPWIS,0,7,41,14,20,21,4,2022-08-23,10.654921104619179,0,0,Action: Normal secure operations
Gangavaram,SAIL_Rourkela,Iron_Ore,Capesize,Clear,Low,Captive,0,9,43,37,51,49,6,2022-08-23,82.53111090495943,2,1,Recommend: Transshipment away from congested port
Haldia,JSW_Vijayanagar,Iron_Ore,Handymax,Clear,Low,GPWIS,1,6,28,13,83,96,14,2022-08-24,77.53852328071584,2,1,Recommend: Expedite alternative multi-modal transport via truck
Dhamra,JSW_Vijayanagar,Coking_Coal,Capesize,Rain,Low,Standard_IR,0,4,42,22,97,87,8,2022-08-24,67.51978689756737,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Tata_Steel_Kalinganagar,Limestone,Capesize,Clear,Low,Standard_IR,0,1,25,17,50,43,10,2022-08-25,54.40713817962928,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,JSW_Vijayanagar,Iron_Ore,Panamax,Rain,Medium,Captive,0,4,32,21,77,90,3,2022-08-25,38.18998407224959,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,SAIL_Rourkela,Coking_Coal,Panamax,Clear,High,Standard_IR,0,10,18,20,88,17,5,2022-08-26,90.45002699910935,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,Vizag_Steel,Coking_Coal,Handymax,Clear,Low,Standard_IR,0,7,46,29,33,36,12,2022-08-26,40.5499288534412,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Vizag_Steel,Limestone,Capesize,Rain,Low,GPWIS,1,3,35,27,97,79,8,2022-08-26,43.064400698670816,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Vizag_Steel,Iron_Ore,Panamax,Clear,Low,GPWIS,0,5,39,28,35,56,4,2022-08-27,53.73036822712419,2,1,Recommend: Expedite alternative multi-modal transport via truck
Paradip,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,3,22,35,88,90,1,2022-08-27,58.56066209933741,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,SAIL_Rourkela,Limestone,Capesize,Clear,Low,Standard_IR,0,2,25,15,73,35,0,2022-08-28,35.79564046237792,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,Vizag_Steel,Iron_Ore,Handymax,Clear,Low,Standard_IR,1,2,11,27,32,66,7,2022-08-28,56.21143926013277,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Low,Standard_IR,0,5,40,45,99,16,11,2022-08-29,54.20624459727004,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,Vizag_Steel,Iron_Ore,Panamax,Cyclone,Low,Standard_IR,0,8,28,43,98,97,11,2022-08-29,131.31947555157558,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,Vizag_Steel,Limestone,Panamax,Clear,Low,Standard_IR,0,8,20,26,50,98,5,2022-08-29,65.65896702633731,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Vizag_Steel,Limestone,Panamax,Clear,Low,Standard_IR,0,2,34,45,40,68,6,2022-08-30,7.834273767556489,0,0,Action: Normal secure operations
Dhamra,JSW_Vijayanagar,Limestone,Handymax,Cyclone,Low,Captive,0,5,23,37,88,35,13,2022-08-30,60.649414450378956,2,1,Recommend: Divert to alternative safe Port
Paradip,Vizag_Steel,Limestone,Capesize,Rain,Medium,Standard_IR,0,4,16,46,49,78,5,2022-08-31,62.80410516969275,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Tata_Steel_Kalinganagar,Coking_Coal,Handymax,Clear,Low,Standard_IR,0,7,24,22,42,56,9,2022-08-31,92.60703755914042,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,Tata_Steel_Kalinganagar,Limestone,Capesize,Clear,Low,Standard_IR,0,6,39,18,57,44,12,2022-09-01,87.9941886529574,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,JSW_Vijayanagar,Iron_Ore,Panamax,Rain,Low,GPWIS,0,10,40,32,48,39,13,2022-09-01,83.1740835258428,2,1,Recommend: Divert to alternative safe Port
Vizag,Vizag_Steel,Coking_Coal,Panamax,Clear,High,Captive,1,7,33,15,96,59,6,2022-09-02,93.25965637103091,2,1,Recommend: Expedite alternative multi-modal transport via truck
Paradip,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,Captive,0,5,34,28,51,98,8,2022-09-02,60.38891667590153,2,1,Recommend: Expedite alternative multi-modal transport via truck
Dhamra,Vizag_Steel,Limestone,Handymax,Clear,Medium,Captive,0,2,17,40,81,33,13,2022-09-02,25.318038974284775,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,SAIL_Rourkela,Coking_Coal,Panamax,Clear,Low,GPWIS,0,8,39,23,64,39,4,2022-09-03,14.2453933230105,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,SAIL_Rourkela,Limestone,Capesize,Clear,High,Standard_IR,1,2,45,17,68,93,0,2022-09-03,96.44377846886972,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,JSW_Vijayanagar,Iron_Ore,Panamax,Rain,Low,GPWIS,0,8,23,37,52,63,0,2022-09-04,27.90149002756374,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,JSW_Vijayanagar,Limestone,Capesize,Clear,Low,Standard_IR,0,7,38,23,23,76,8,2022-09-04,119.99536714758554,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,3,36,36,37,41,4,2022-09-05,40.14568841462204,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,Tata_Steel_Kalinganagar,Iron_Ore,Handymax,Rain,Low,Captive,0,4,45,19,89,17,13,2022-09-05,29.93960566928422,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Low,Captive,0,7,43,15,83,59,12,2022-09-06,35.811890982245956,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Tata_Steel_Kalinganagar,Iron_Ore,Capesize,Clear,Low,Standard_IR,1,4,30,27,47,56,12,2022-09-06,65.34510077403982,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,JSW_Vijayanagar,Iron_Ore,Panamax,Rain,Low,Standard_IR,1,9,47,9,77,96,10,2022-09-06,134.52206622821424,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Vizag_Steel,Coking_Coal,Capesize,Clear,Low,Standard_IR,0,7,20,26,75,55,14,2022-09-07,104.57333034652842,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,SAIL_Rourkela,Iron_Ore,Capesize,Clear,Low,Standard_IR,0,1,42,46,39,89,12,2022-09-07,63.278314015360294,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Tata_Steel_Kalinganagar,Iron_Ore,Handymax,Clear,Low,Standard_IR,1,4,21,11,53,70,14,2022-09-08,83.13440878415088,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,1,24,22,96,44,1,2022-09-08,29.791346133809554,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,JSW_Vijayanagar,Limestone,Panamax,Rain,Low,Standard_IR,0,5,20,32,24,60,5,2022-09-09,63.737613365756935,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Low,Standard_IR,0,9,33,37,29,98,2,2022-09-09,63.38147432215292,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,JSW_Vijayanagar,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,4,46,7,41,88,0,2022-09-09,43.70837748295525,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Low,GPWIS,0,1,28,5,63,72,11,2022-09-10,26.03188253031967,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Vizag_Steel,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,2,10,41,28,17,5,2022-09-10,13.27213143105114,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Tata_Steel_Kalinganagar,Limestone,Panamax,Cyclone,Low,Captive,0,4,26,26,62,43,2,2022-09-11,56.09832591902706,2,1,Recommend: Divert to alternative safe Port
Haldia,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,4,49,48,23,34,14,2022-09-11,48.478629077132474,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,JSW_Vijayanagar,Iron_Ore,Panamax,Rain,Low,GPWIS,0,10,25,23,61,53,2,2022-09-12,31.330056566044295,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,Vizag_Steel,Limestone,Panamax,Clear,High,Captive,0,6,35,18,84,92,6,2022-09-12,81.55042593513504,2,1,Recommend: Expedite alternative multi-modal transport via truck
Vizag,SAIL_Rourkela,Limestone,Capesize,Clear,Low,GPWIS,0,9,39,37,74,22,4,2022-09-13,49.34999955206128,2,1,Recommend: Transshipment away from congested port
Paradip,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Clear,Low,Captive,0,8,17,23,83,59,0,2022-09-13,33.90064654407695,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Tata_Steel_Kalinganagar,Limestone,Panamax,Rain,Low,Captive,0,6,24,7,60,52,14,2022-09-13,64.6397651595893,2,1,Recommend: Divert to alternative safe Port
Haldia,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,1,23,25,37,55,12,2022-09-14,54.41629700759765,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,SAIL_Rourkela,Limestone,Panamax,Clear,Low,GPWIS,1,1,42,5,35,85,2,2022-09-14,35.13405813801034,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,SAIL_Rourkela,Iron_Ore,Panamax,Rain,Low,Captive,0,6,16,30,65,88,4,2022-09-15,68.90253764297455,2,1,Recommend: Divert to alternative safe Port
Paradip,Tata_Steel_Kalinganagar,Limestone,Handymax,Clear,High,GPWIS,0,4,27,14,55,96,10,2022-09-15,94.86788550844713,2,1,Recommend: Expedite alternative multi-modal transport via truck
Dhamra,JSW_Vijayanagar,Iron_Ore,Handymax,Clear,High,Standard_IR,0,4,21,39,85,62,13,2022-09-16,77.23247409201926,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,Vizag_Steel,Iron_Ore,Capesize,Rain,Low,Captive,0,1,11,17,63,72,3,2022-09-16,43.78488732500264,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,Low,Captive,0,9,38,10,24,11,5,2022-09-16,37.36775846508717,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,Vizag_Steel,Limestone,Panamax,Clear,Low,Standard_IR,0,5,16,10,23,32,8,2022-09-17,36.92719134698633,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Vizag_Steel,Coking_Coal,Panamax,Clear,Low,Captive,0,3,30,47,48,49,11,2022-09-17,36.97486858127962,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,JSW_Vijayanagar,Iron_Ore,Handymax,Clear,High,GPWIS,0,10,36,39,68,68,1,2022-09-18,74.08452785509571,2,1,Recommend: Transshipment away from congested port
Dhamra,SAIL_Rourkela,Iron_Ore,Panamax,Clear,Low,GPWIS,1,1,21,20,91,78,9,2022-09-18,15.81330576685343,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,JSW_Vijayanagar,Coking_Coal,Panamax,Cyclone,Low,GPWIS,1,8,29,45,27,43,7,2022-09-19,120.25086894182186,2,1,Recommend: Divert to alternative safe Port
Vizag,Vizag_Steel,Limestone,Panamax,Clear,Low,Standard_IR,1,3,23,12,71,83,13,2022-09-19,60.68143713526571,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Low,Captive,0,1,19,7,88,36,12,2022-09-20,52.48697226621293,2,1,Recommend: Expedite alternative multi-modal transport via truck
Haldia,Vizag_Steel,Coking_Coal,Handymax,Rain,High,Standard_IR,1,10,32,9,40,64,1,2022-09-20,134.92186493556537,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Tata_Steel_Kalinganagar,Coking_Coal,Handymax,Clear,Low,GPWIS,0,6,39,25,46,13,3,2022-09-20,11.694198520802736,0,0,Action: Normal secure operations
Dhamra,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,GPWIS,0,3,19,18,24,81,3,2022-09-21,0.0,0,0,Action: Normal secure operations
Haldia,Tata_Steel_Kalinganagar,Limestone,Capesize,Clear,Low,Captive,0,1,40,35,57,77,8,2022-09-21,14.02547539431592,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Vizag_Steel,Limestone,Panamax,Clear,Medium,GPWIS,0,5,28,41,80,79,6,2022-09-22,22.295588201009185,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,SAIL_Rourkela,Limestone,Handymax,Clear,Low,Captive,1,4,28,23,27,98,10,2022-09-22,47.74840092841907,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Vizag_Steel,Iron_Ore,Handymax,Clear,Medium,Captive,0,7,32,41,37,36,4,2022-09-23,19.14403557173964,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Vizag_Steel,Iron_Ore,Panamax,Clear,Low,GPWIS,0,6,41,24,23,56,12,2022-09-23,62.46438220826224,2,1,Recommend: Expedite alternative multi-modal transport via truck
